SN_name,redshift,x1_stretch,distance_modulus,mu_error
2011fe,0.00122,-0.548188,28.9987,1.51645
2011fe,0.00122,-0.380481,29.0559,1.51747
1994DRichmond,0.00299,-1.61803,30.7757,0.881212
1981B,0.00317,-0.445048,30.7946,0.614535
2001el,0.00333,-0.131083,31.5011,0.591006
2011by,0.00349,-0.334036,31.7933,0.55272
1998aq,0.00349,-0.45159,31.4967,0.545492
2021pit,0.00384,-0.042209,30.9999,0.566505
2005df,0.00407,-0.103725,31.3933,0.476404
2005df_ANU,0.00407,-0.01756,31.3779,0.479276
2012ht,0.00465,-1.27917,31.9309,0.442017
2012ht,0.00465,-1.16357,32.033,0.420403
1980N,0.00482,-1.1428,31.2476,0.558603
2007on,0.00483,-2.22068,31.6525,0.564724
1992A,0.00483,-1.67481,31.34,0.562589
2007on,0.00483,-2.28189,31.7635,0.574442
2015F,0.00488,-1.16422,31.4473,0.448264
2015F,0.00488,-0.994481,31.539,0.407028
2011B,0.00538,-1.02192,31.6512,0.514401
2018aoz,0.00548,-1.12558,31.7282,0.501431
2016coj,0.0057,-1.69279,31.9117,0.469628
SN2016coj,0.0057,-1.47692,31.8985,0.483668
2007gi,0.00587,-1.37417,31.7403,0.491367
2015bp,0.00592,-2.13402,32.4685,0.487055
1981D,0.00616,-1.15194,30.9079,0.524992
2006dd,0.00616,-0.285563,31.1857,0.452235
2007af,0.00625,-0.533099,32.0667,0.32593
2007af,0.00625,-0.444525,32.0023,0.36156
2007af,0.00625,-0.558,32.0999,0.322811
2007af,0.00625,-0.393072,32.0337,0.339166
2014bv,0.00634,-2.41089,32.4001,0.482567
2011iv,0.00668,-1.89667,31.2217,0.420706
1996X,0.00676,-1.07643,31.9733,0.415464
1992G,0.00692,-0.216055,32.4405,0.439634
2005cf,0.0071,-0.060167,32.3193,0.325586
2005cf,0.0071,-0.126135,32.3327,0.348317
2005cf,0.0071,-0.06305,32.3221,0.322655
2008Q,0.0075,-1.85633,32.3312,0.373843
2008Q,0.0075,-1.66449,32.2998,0.396652
1998dh,0.00814,-0.603336,32.7164,0.317031
1998dh,0.00814,-0.773787,32.6151,0.317457
2012hr,0.00814,-0.022119,32.7092,0.367554
1996Z,0.00817,-0.347761,32.4455,0.490787
1991M,0.00821,-1.09686,33.2138,0.462834
2013gh,0.00838,-0.732548,32.521,0.465611
2013gh,0.00838,-0.570744,32.6922,0.484865
2001bg,0.00855,-0.375732,32.6928,0.359218
2005W,0.00855,-0.431319,32.852,0.318032
ASASSN-15so,0.00857,-0.714413,32.7527,0.26758
PSNJ0717457,0.00861,-0.210958,32.7223,0.383433
2005am,0.00863,-1.79912,32.3744,0.338325
2005am,0.00863,-1.86653,32.3945,0.331296
2005am,0.00863,-1.92038,32.335,0.337879
1997bp,0.00864,-0.05696,32.4198,0.425219
2019ein,0.00883,-1.58896,32.8616,0.327035
2002er,0.00906,-0.928371,32.799,0.368859
2002er,0.00906,-0.900619,32.7498,0.409525
2006D,0.00925,-1.3074,32.8914,0.286425
2006D,0.00925,-1.58877,32.8973,0.282867
2006D,0.00925,-1.50889,32.9159,0.285505
2013cs,0.00935,-0.33302,32.3353,0.401367
2002cr,0.00954,-0.602515,33.2309,0.251906
2002cr,0.00954,-0.375911,33.2469,0.254885
2002dj,0.00957,-0.284682,32.901,0.309548
2009Y,0.00996,-0.148529,32.6457,0.409088
2009an,0.01026,-1.33873,33.3378,0.306294
2009an,0.01026,-1.4709,33.2253,0.299086
2006bh,0.01028,-1.68127,33.2788,0.247952
2004S,0.01042,-0.181708,33.1236,0.317227
2002dp,0.01061,-0.125605,33.3806,0.309009
2002dp,0.01061,-0.883313,33.2931,0.27457
1997bq,0.01079,-0.609001,33.0683,0.324016
ASASSN-16jf,0.01096,-1.97973,33.5709,0.314858
iPTF13ebh,0.01114,-2.41474,33.7337,0.342487
iPTF13ebh,0.01114,-2.15768,33.6369,0.29522
2010ko,0.01122,-2.46319,33.8347,0.353909
2013ex,0.01122,-0.341166,33.4336,0.283424
2013ex,0.01122,-0.40726,33.4947,0.325172
2009ab,0.01155,-1.00248,33.5833,0.281169
2009kk,0.0122,-1.33511,33.7023,0.266666
2010Y,0.01233,-2.58836,33.7403,0.254135
2008R,0.01246,-2.23955,33.8286,0.265115
2002ha,0.01258,-1.46565,33.708,0.24076
2002ha,0.01258,-1.30067,33.7246,0.250097
2009kq,0.01259,-0.139165,33.5874,0.26006
2009kq,0.01259,-0.087808,33.5178,0.26619
2001bt,0.01279,-0.922972,33.7492,0.416658
2001ep,0.01283,-0.894852,33.6365,0.287379
2001ep,0.01283,-0.953229,33.5028,0.331124
2013gy,0.01303,-0.513534,33.7355,0.239783
2013gy,0.01303,-0.93035,33.7607,0.28722
AT2017cfd,0.01304,-0.52942,33.5752,0.292564
2017cfd,0.01304,-0.79384,33.5673,0.284786
2007hj,0.01325,-2.30035,33.9682,0.303693
2007hj,0.01325,-2.06693,33.9846,0.299399
2007hj,0.01325,-2.20461,33.9247,0.304606
2008hv,0.01375,-1.38336,33.797,0.277855
2008hv,0.01375,-1.24313,33.7683,0.232778
2008hv,0.01375,-1.47007,33.772,0.235755
1997E,0.01376,-1.75207,33.7649,0.288791
2007cv,0.01386,-2.14639,33.6741,0.345367
1992al,0.01388,-0.284092,33.6968,0.233531
1999dk,0.01389,-0.329226,33.6651,0.296207
2005kc,0.01442,-0.756322,34.0187,0.307194
2005kc,0.01442,-0.394289,34.0249,0.352338
2006N,0.01446,-2.01175,33.9078,0.240515
2006td,0.0145,-1.37917,34.1727,0.365029
2013gq,0.01453,-0.740468,33.7526,0.2163
2004eo,0.0146,-1.23185,33.8826,0.249316
2003gt,0.01462,-0.19694,33.9253,0.243928
2005bo,0.01463,-1.12409,33.7553,0.390506
2005bo,0.01463,-1.1289,33.7189,0.39282
2013fa,0.01472,-0.556908,33.7894,0.397352
2000dm,0.01484,-2.12328,34.0109,0.270222
PSNJ2043531,0.01492,-2.55527,34.1902,0.372674
2005el,0.01499,-1.31973,33.974,0.229564
2005el,0.01499,-1.37084,33.9261,0.231708
2001cn,0.01515,-0.553543,33.8877,0.294985
2005de,0.01519,-0.493131,34.1793,0.26677
ATLAS16cxr,0.01542,-0.04908,34.3426,0.372888
2011im,0.01549,-1.45096,34.2732,0.34036
1999ej,0.0155,-1.85693,34.2581,0.272528
1999ej,0.0155,-1.52281,34.2112,0.258071
2001en,0.0155,-0.766449,33.9994,0.28632
2001en,0.0155,-0.964751,33.8852,0.313932
2008ec,0.01562,-0.936791,34.1732,0.264363
2008ec,0.01562,-0.763005,34.1302,0.33431
2009nq,0.01576,-0.524383,34.1657,0.28688
2005al,0.01578,-1.25264,33.9986,0.219937
2013hn,0.01578,-1.76294,34.0697,0.290382
ASASSN-15oh,0.01587,-1.58413,34.3916,0.270341
2007ss,0.01652,-1.30935,34.4137,0.34637
2010kg,0.01652,-1.28649,33.9999,0.334729
2013Q,0.01657,-0.184161,33.9726,0.41528
iPTF13dge,0.01662,-0.120328,34.2793,0.261916
ASASSN-16ip,0.01678,-0.877386,34.1679,0.246475
PSNJ0107203,0.01682,-1.98709,33.9673,0.284408
1998ef,0.0169,-1.01696,33.841,0.289311
1998ef,0.0169,-1.19643,33.8975,0.264562
ASASSN-15ti,0.01692,-1.47904,34.4894,0.310314
ASASSN-15od,0.01698,-1.11648,34.3409,0.228387
1997Y,0.01705,-1.06703,34.1973,0.214463
2001da,0.01718,-0.685997,34.022,0.308995
2001da,0.01718,-0.56437,34.2003,0.325329
ASASSN-15kx,0.0172,-1.45347,34.6084,0.219814
2000dk,0.0173,-2.44176,34.1436,0.28269
2000dk,0.0173,-2.03848,34.1517,0.257136
2007fb,0.01733,-1.55803,34.4009,0.221698
2007fb,0.01733,-1.64181,34.5101,0.231239
2006ef,0.01734,-1.56473,34.361,0.220285
2008C,0.01737,-0.695876,34.31,0.263557
2008C,0.01737,-0.758244,34.2669,0.262425
2004fz,0.01743,-1.27514,33.7799,0.330633
1998V,0.01752,-0.229945,34.1465,0.231417
2013gs,0.01776,-0.229314,34.2221,0.320412
2008L,0.01778,-1.58162,34.3364,0.210115
2008L,0.01778,-1.52385,34.2464,0.213428
2009le,0.01784,-0.019163,34.2418,0.22287
2000dr,0.0179,-2.72877,34.2975,0.318912
2007as,0.01802,-0.983845,34.2661,0.234211
1992bo,0.01808,-2.00428,34.6078,0.20147
2010ai,0.01826,-1.6487,34.9792,0.21848
ASASSN-17co,0.01826,-0.582812,34.2005,0.280568
2009gf,0.01855,-2.72077,34.492,0.255362
2009gf,0.01855,-2.72446,34.576,0.296243
2016ffh,0.01865,-0.612255,34.6171,0.238984
ATLAS16cpu,0.01865,-0.957574,34.5716,0.239989
2000cu,0.01866,-1.85209,34.6066,0.277471
2006kf,0.01947,-2.07155,34.7747,0.195403
2006kf,0.01947,-2.29704,34.8085,0.195531
2008hs,0.01975,-2.71083,34.757,0.466611
2008hs,0.01975,-2.50052,34.7394,0.433516
2007au,0.01976,-2.4148,34.6865,0.406241
2016W,0.01995,-1.42495,34.3648,0.295725
2002kf,0.02001,-0.988522,34.6854,0.204275
2006ej,0.02023,-1.65658,34.5995,0.188309
2006ej,0.02023,-1.2573,34.5012,0.295566
2006ej,0.02023,-1.52252,34.576,0.189903
2006ej,0.02023,-1.0906,34.6482,0.187832
2005ki,0.02035,-1.61047,34.5709,0.187708
2005ki,0.02035,-1.45192,34.5656,0.177716
2005ki,0.02035,-1.30129,34.4931,0.19075
ASASSN-15lg,0.02044,-1.2315,34.6552,0.214591
2007st,0.02056,-1.62937,34.4168,0.217156
ASASSN-17bs,0.02056,-1.01194,34.5647,0.249505
2003W,0.02082,-0.008507,34.674,0.230899
2001br,0.0209,-1.49568,34.8118,0.300223
